"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature"
"24","https://nansh.org/portal/collections/individual/index.php?occid=24057631",43.42917,-72.80459,1904-07-13,NA,NA,"Y","Y",NA,"Online Herbarium",7,13,1904,195,-4,2.90000009536743,13.6000003814697,15.5,18.1000003814697,15.9000005722046,11.5
"25","62913",46.526242,-63.6862,1904-07-16,NA,NA,"Y","Y",NA,"ECSmith",7,16,1904,198,-4.59999990463257,2.10000014305115,9.90000057220459,13.6000003814697,19.3000011444092,17.3000011444092,12
"26","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968932",40.519344,-78.306955,1904-06-22,NA,NA,NA,"Y",NA,"Online Herbarium",6,22,1904,174,1.20000004768372,5.59999990463257,15,18.8999996185303,20.5,19,16.5
"27","http://collections.peabody.yale.edu/search/Record/YU.058767",41.7413,-73.1931,1905-05-21,"Y","Y",NA,NA,NA,"Online Herbarium",5,21,1905,141,-0.100000001490116,6,12.9000005722046,17.3000011444092,20.8999996185303,18.8000011444092,15.3000001907349
"28","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417025",42.488377,-71.151934,1905-05-14,"Y","Y",NA,NA,NA,"Online Herbarium",5,14,1905,134,0.699999988079071,6.90000009536743,13.1000003814697,17.6000003814697,21.8000011444092,19.2000007629395,15.8000001907349
"29","https://neherbaria.org/portal/collections/individual/index.php?occid=702235",43.58636,-70.23752,1905-05-27,"Y","Y",NA,NA,NA,"Online Herbarium",5,27,1905,147,-1.10000002384186,5.5,11.3000001907349,15.9000005722046,20.3999996185303,18.3999996185303,14.6000003814697
"30","http://portal.neherbaria.org/portal/collections/individual/index.php?occid=92889",41.7413,-73.1931,1905-05-21,NA,"Y",NA,NA,NA,"Online Herbarium",5,21,1905,141,-0.100000001490116,6,12.9000005722046,17.3000011444092,20.8999996185303,18.8000011444092,15.3000001907349
"31","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968887",39.93336,-77.954522,1905-06-06,NA,NA,"Y","Y",NA,"Online Herbarium",6,6,1905,157,4.7000002861023,9.80000019073486,16.3000011444092,20.2000007629395,22.8999996185303,21.2000007629395,18.1000003814697
"32","https://neherbaria.org/portal/collections/individual/index.php?occid=702245",43.93298,-70.91673,1905-07-23,NA,NA,NA,"Y",NA,"Online Herbarium",7,23,1905,204,-1.70000004768372,5,11.1999998092651,15.6999998092651,19.8999996185303,17.8000011444092,14
"33","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417289",40.477101,-74.291389,1906-04-29,"Y","Y",NA,NA,NA,"Online Herbarium",4,29,1906,119,0.800000011920929,10.1999998092651,15.6999998092651,21.3999996185303,23,23.6000003814697,20
"34","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329661",41.101529,-75.514241,1906-06-17,NA,NA,"Y","Y",NA,"Online Herbarium",6,17,1906,168,-2.70000004768372,7.80000019073486,13.9000005722046,18.7000007629395,20.3000011444092,20.8000011444092,17.8000011444092
"35","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326023",41.15398,-75.28046,1906-06-20,NA,NA,"Y","Y",NA,"Online Herbarium",6,20,1906,171,-2.29999995231628,7.80000019073486,13.9000005722046,18.6000003814697,20.1000003814697,20.5,17.1000003814697
"36","https://neherbaria.org/portal/collections/individual/index.php?occid=2100877",44.75535,-69.66573,1906-07-18,NA,NA,"Y","Y",NA,"Online Herbarium",7,18,1906,199,-5.59999990463257,4,10.6000003814697,16.2000007629395,19.2000007629395,19.6000003814697,14.1999998092651
"37","ECS005733",48.666559,-68.015307,1906-07-23,NA,NA,"Y",NA,NA,"ECSmith",7,23,1906,204,-7.90000009536743,0.5,7.2000002861023,13.5,17.7000007629395,16.8999996185303,10.6000003814697
"38","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19931002",40.541151,-74.21773,1906-07-08,NA,NA,NA,"Y",NA,"Online Herbarium",7,8,1906,189,0.100000001490116,9.60000038146973,15.5,21.2000007629395,23.1000003814697,23.6000003814697,19.7000007629395
"39","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329692",39.811503,-74.982944,1907-04-27,"Y","Y",NA,NA,NA,"Online Herbarium",4,27,1907,117,6.2000002861023,6.90000009536743,13.3000001907349,18.5,23.3999996185303,21.7000007629395,20
"40","https://neherbaria.org/portal/collections/individual/index.php?occid=702244",44.14429,-70.47619,1907-07-02,NA,NA,"Y",NA,NA,"Online Herbarium",7,2,1907,183,-2.20000004768372,3.20000004768372,8.90000057220459,16.2000007629395,19.5,17.6000003814697,14.4000005722046
"41","https://neherbaria.org/portal/collections/individual/index.php?occid=699951",42.89051,-71.93935,1908-05-28,"Y","Y",NA,NA,NA,"Online Herbarium",5,28,1908,149,0.300000011920929,6.09999990463257,14,19,21.8000011444092,19.1000003814697,16.3999996185303
