"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"37","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15499778",39.66806,-78.96778,1938-08-09,"Y","Y","NA","NA","NA","Online Herbarium",8,9,1938,221
"38","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11976239",39.699937,-78.944615,1957-05-17,"Y","Y","NA","NA","NA","Online Herbarium",5,17,1957,137
"39","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11976237",39.709106,-78.928324,1957-05-17,"NA","Y","NA","NA","NA","Online Herbarium",5,17,1957,137
"40","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009327",39.73333,-78.13333,1995-07-02,"NA","NA","Y","NA","NA","Online Herbarium",7,2,1995,183
"41","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757268",39.748442,-76.018558,1909-08-05,"NA","NA","NA","Y","NA","Online Herbarium",8,5,1909,217
"42","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757267",39.752829,-79.1657,1936-08-15,"NA","NA","Y","Y","NA","Online Herbarium",8,15,1936,228
"43","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009326",39.763338,-79.73726,1995-07-01,"NA","NA","NA","Y","NA","Online Herbarium",7,1,1995,182
"44","https://nansh.org/portal/collections/individual/index.php?occid=16634836",39.763389,-77.437377,2000-07-19,"NA","NA","Y","Y","NA","Online Herbarium",7,19,2000,201
"45","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12013470",39.76559,-79.46851,2010-07-08,"NA","NA","Y","Y","NA","Online Herbarium",7,8,2010,189
"46","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010735",39.765918,-78.367236,1995-06-30,"NA","NA","NA","Y","NA","Online Herbarium",6,30,1995,181
"47","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757275",39.772306,-77.911031,1939-05-14,"NA","NA","Y","NA","NA","Online Herbarium",5,14,1939,134
"48","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968836",39.779875,-79.219603,1949-07-15,"NA","NA","NA","Y","NA","Online Herbarium",7,15,1949,196
"49","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527064",39.7831,-74.8039,2003-05-13,"Y","Y","NA","NA","NA","Online Herbarium",5,13,2003,133
"50","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968838",39.783644,-78.972802,1946-06-01,"NA","NA","Y","NA","NA","Online Herbarium",6,1,1946,152
"51","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009752",39.78456,-79.17758,1994-05-21,"Y","Y","NA","NA","NA","Online Herbarium",5,21,1994,141
