"","reference","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate","march_temperature","april_temperature","may_temperature","june_temperature","july_temperature","august_temperature","sept_temperature","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NA_L2KEY","NA_L1KEY","Shape_Leng","Shape_Area","decimalLongitude","decimalLatitude","date"
"14","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14416596","1903-04-22","Y","Y",NA,NA,NA,"Online Herbarium",4,22,1903,112,5.5,9.10000038146973,16.2000007629395,17.6000003814697,22.8000011444092,20.8999996185303,17.2000007629395,"8.2","CENTRAL USA PLAINS","8","EASTERN TEMPERATE FORESTS","8.2  CENTRAL USA PLAINS","8  EASTERN TEMPERATE FORESTS",6558125.21217,225913769038,-87.299308,41.551381,1900-04-22
"15","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21908532","1903-05-26","Y","Y",NA,NA,NA,"Online Herbarium",5,26,1903,146,4.5,6.30000019073486,13.6999998092651,15,18.8999996185303,16.1000003814697,15.1999998092651,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9444483.33775,232394679912,-76.503302,42.446075,1900-05-26
"16","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21905239","1903-05-14","Y","Y",NA,NA,NA,"Online Herbarium",5,14,1903,134,2.79999995231628,5.80000019073486,12.9000005722046,15.1000003814697,19.3000011444092,16.8999996185303,15.5,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9444483.33775,232394679912,-76.566667,44.3,1900-05-14
"17","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329698","1903-05-10",NA,"Y",NA,NA,NA,"Online Herbarium",5,10,1903,130,7.90000009536743,9.69999980926514,16.1000003814697,17.8000011444092,22.5,20.2000007629395,18.3999996185303,"8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","8.5  MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8  EASTERN TEMPERATE FORESTS",1147122.03911,2095677660.07,-73.712631,40.632048,1900-05-10
"18","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14417275","1903-06-25",NA,NA,NA,"Y",NA,"Online Herbarium",6,25,1903,176,8.60000038146973,9.30000019073486,16.3999996185303,17.3000011444092,21.5,20.8999996185303,17.2000007629395,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-80.29757,37.796511,1900-06-25
"19","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968861","1904-05-17","Y","Y",NA,NA,NA,"Online Herbarium",5,17,1904,138,1.20000004768372,5.59999990463257,15,18.8999996185303,20.5,19,16.5,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",6793228.13774,344088619037,-78.19506,40.64677,1900-05-17
"20","https://neherbaria.org/portal/collections/individual/index.php?occid=702310","1904-05-20","Y","Y",NA,NA,NA,"Online Herbarium",5,20,1904,141,-2.90000009536743,3.70000004768372,13.6999998092651,16.5,18.7000007629395,17.3000011444092,12.8000001907349,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-71.1706,43.61174,1900-05-20
"21","http://collections.peabody.yale.edu/search/Record/YU.058769","1904-07-01",NA,NA,"Y","Y",NA,"Online Herbarium",7,1,1904,183,0.600000023841858,5.90000009536743,15,18.3000011444092,21,19.8999996185303,16.8999996185303,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",9752633.62823,160748671110,-72.7006,41.3347,1900-07-01
"22","https://nansh.org/portal/collections/individual/index.php?occid=24057631","1904-07-13",NA,NA,"Y","Y",NA,"Online Herbarium",7,13,1904,195,-4,2.90000009536743,13.6000003814697,15.5,18.1000003814697,15.9000005722046,11.5,"5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",4392637.73784,160162093148,-72.80459,43.42917,1900-07-13
"23","62913","1904-07-16",NA,NA,"Y","Y",NA,"ECSmith",7,16,1904,198,-4.59999990463257,2.10000014305115,9.90000057220459,13.6000003814697,19.3000011444092,17.3000011444092,12,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",821684.410832,5699303739.61,-63.6862,46.526242,1900-07-16
